Article,Mean Accuracy@1,Mean Accuracy@5,Mean Accuracy@10
ARTÍCULO 195.,0.0,0.0,0.5
ARTÍCULO 196.,0.0,0.0,0.25
ARTÍCULO 197.,0.0,0.5,1.0
ARTÍCULO 198.,0.75,0.75,0.75
ARTÍCULO 199.,0.6,0.6,0.6
ARTÍCULO 200.,0.0,0.0,0.5
ARTÍCULO 201.,0.25,0.5,1.0
ARTÍCULO 202.,1.0,1.0,1.0
ARTÍCULO 203.,0.0,0.0,0.3333333333333333
ARTÍCULO 204.,0.0,0.0,0.0
ARTÍCULO 205.,0.0,0.0,0.5
ARTÍCULO 206.,0.0,0.0,0.0
ARTÍCULO 207.,0.0,0.0,0.0
ARTÍCULO 208.,0.0,0.0,0.0
ARTÍCULO 209.,0.0,0.2,0.2
ARTÍCULO 210.,0.5,0.5,0.5
ARTÍCULO 211.,0.2,0.2,0.4
ARTÍCULO 212.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 213.,0.5,0.5,0.5
ARTÍCULO 214.,0.0,0.0,0.0
ARTÍCULO 215.,0.0,1.0,1.0
ARTÍCULO 216.,0.4,0.6,1.0
ARTÍCULO 217.,1.0,1.0,1.0
ARTÍCULO 218.,0.0,0.0,0.0
ARTÍCULO 219.,0.5,0.5,1.0
ARTÍCULO 220.,0.0,0.0,1.0
ARTÍCULO 221.,1.0,1.0,1.0
ARTÍCULO 222.,0.4,0.6,0.8
ARTÍCULO 223.,0.0,0.0,0.0
ARTÍCULO 224.,0.5,1.0,1.0
ARTÍCULO 225.,0.0,0.5,1.0
ARTÍCULO 226.,0.5,0.5,0.5
ARTÍCULO 227.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 228.,1.0,1.0,1.0
ARTÍCULO 229.,0.0,0.0,0.6666666666666666
ARTÍCULO 230.,0.0,0.0,0.0
ARTÍCULO 231.,0.0,0.3333333333333333,0.6666666666666666
ARTÍCULO 232.,0.0,0.0,0.0
ARTÍCULO 233.,0.3333333333333333,0.3333333333333333,0.3333333333333333
ARTÍCULO 234.,0.5,1.0,1.0
ARTÍCULO 235.,0.25,0.25,0.25
ARTÍCULO 236.,0.0,0.0,0.0
